,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
106,Qaanaaq,0,GL,1573177884,67,77.48,-69.36,-2.42,7.27
107,Nanortalik,100,GL,1573177884,73,60.14,-45.24,34.9,13.4
108,Port Elizabeth,75,US,1573177884,93,39.31,-74.98,55.4,3.36
109,Lokosovo,100,RU,1573177885,86,61.13,74.84,11.86,7.45
110,Gat,28,SN,1573177885,73,14.69,-16.54,71.6,16.11
111,Tura,100,RU,1573177885,94,64.27,100.22,5.43,4.56
112,Aksarka,0,RU,1573177852,85,66.56,67.8,-4.49,3.53
113,Kahului,40,US,1573177885,69,20.89,-156.47,82.4,14.99
114,Somerset West,20,ZA,1573177885,82,-34.08,18.85,57.2,8.05
115,Atuona,0,PF,1573177885,79,-9.8,-139.03,80.44,13.82
116,Bonfim,22,GY,1573177885,68,3.36,-59.84,81.55,6.64
117,Pantai Remis,75,MY,1573177885,83,4.46,100.63,80.6,3.36
118,East London,11,ZA,1573177886,61,-33.02,27.91,63.73,17.09
119,Smithers,90,CA,1573177886,99,54.78,-127.17,32.0,3.24
120,Dingle,5,PH,1573177886,73,11.0,122.67,84.27,14.85
121,Sola,60,TZ,1573177886,76,-3.17,33.8,68.09,6.33
122,Hermanus,5,ZA,1573177585,81,-34.42,19.24,59.38,11.3
123,Niquelandia,91,BR,1573177886,86,-14.47,-48.46,70.88,2.75
124,Karaj,0,IR,1573177886,57,35.81,51.01,50.0,4.7
125,Aklavik,90,CA,1573177886,85,68.22,-135.01,14.0,4.7
126,Srednekolymsk,5,RU,1573177887,94,67.46,153.71,0.18,2.42
127,Kuzino,100,RU,1573177887,87,57.02,59.44,24.91,8.05
128,Saint-Georges,97,CA,1573177887,95,46.12,-70.67,22.98,4.63
129,Beasain,40,ES,1573177887,80,43.05,-2.2,50.0,11.41
130,Hofn,99,IS,1573177835,70,64.25,-15.21,39.24,6.35
131,Basarabeasca,100,UA,1573177887,93,46.33,28.97,48.2,3.36
132,Bambous Virieux,40,MU,1573177887,78,-20.34,57.76,75.2,12.75
133,Upata,98,VE,1573177888,96,8.02,-62.41,71.08,3.4
134,Castro,97,CL,1573177888,94,-42.48,-73.76,35.65,2.89
135,Lorengau,100,PG,1573177870,80,-2.02,147.27,81.84,10.83
136,Along,100,IN,1573177888,53,28.17,94.8,72.63,2.35
137,Yellowknife,90,CA,1573177831,78,62.45,-114.38,14.0,9.17
138,Tanout,0,NE,1573177888,15,14.97,8.88,79.02,9.26
139,Egvekinot,56,RU,1573177888,94,66.32,-179.17,14.18,12.71
140,Tarabuco,100,BO,1573177888,81,-19.18,-64.92,56.48,3.8
141,Los Llanos de Aridane,90,ES,1573177888,77,28.66,-17.92,69.8,18.34
142,Honningsvag,74,NO,1573177730,82,70.98,25.97,29.95,4.07
143,Bow Island,75,CA,1573177889,73,49.87,-111.38,21.2,5.82
144,Ust-Kuyga,100,RU,1573177889,98,70.0,135.55,-5.66,5.23
145,Yabrud,0,SY,1573177889,51,33.97,36.66,59.0,10.29
146,Sisimiut,100,GL,1573177889,54,66.94,-53.67,22.08,5.77
147,Bukavu,100,CD,1573177889,92,-2.51,28.86,58.26,1.77
148,Searcy,20,US,1573177875,86,35.25,-91.74,42.8,12.75
149,Tabou,24,CI,1573177889,94,4.42,-7.36,75.13,0.74
150,Winslow,49,GB,1573177890,100,51.94,-0.88,37.4,3.36
151,Zhigansk,69,RU,1573177890,96,66.77,123.37,-19.5,5.48
152,Luderitz,51,NA,1573177890,67,-26.65,15.16,59.0,14.99
153,Mikhaylovka,100,RU,1573177890,79,52.96,103.29,31.86,2.06
154,Pisco,0,PE,1573177890,82,-13.71,-76.2,64.4,14.99
155,Tefe,94,BR,1573177705,86,-3.35,-64.71,76.75,2.66
156,Clyde River,90,CA,1573177890,85,70.47,-68.59,21.2,11.41
157,Chokurdakh,86,RU,1573177891,98,70.62,147.9,-5.08,8.37
158,Beya,0,RU,1573177891,72,53.05,90.92,34.32,7.38
159,Harindanga,75,IN,1573177891,94,22.04,88.32,71.6,3.36
160,Marand,0,IR,1573177891,51,38.43,45.77,39.2,6.93
161,Skagen,100,SE,1573177891,100,58.6,13.44,35.6,8.05
162,Nevsehir,0,TR,1573177891,40,38.62,34.71,39.2,3.65
163,Ambilobe,59,MG,1573177869,67,-13.19,49.05,78.64,11.95
164,Kattivakkam,20,IN,1573177891,94,13.22,80.32,78.8,3.36
165,Arman,100,RU,1573177892,76,59.7,150.17,36.77,30.49
166,Staryy Nadym,99,RU,1573177892,97,65.61,72.68,-5.91,15.64
167,Igbo Ora,18,NG,1573177892,97,7.43,3.28,74.14,1.48
168,Agua Buena,100,MX,1573177892,52,29.88,-109.91,63.97,1.25
169,Champerico,40,MX,1573177892,73,16.38,-93.6,77.0,11.41
170,Cherskiy,100,RU,1573177862,75,68.75,161.3,20.12,8.1
171,Abu Samrah,0,SY,1573177892,47,35.3,37.18,62.42,5.93
172,Cap Malheureux,40,MU,1573177892,78,-19.98,57.61,75.2,12.75
173,Mogzon,0,RU,1573177893,57,51.74,111.97,32.79,13.15
174,Ancud,100,CL,1573177893,81,-41.87,-73.83,43.72,2.37
175,Rawson,7,AR,1573177893,57,-43.3,-65.11,53.46,19.26
176,College,90,US,1573177845,73,64.86,-147.8,24.8,9.17
177,Rundu,100,NA,1573177893,57,-17.91,19.77,75.2,8.05
178,Gushikawa,75,JP,1573177893,60,26.35,127.87,75.2,17.22
179,Parkes,14,AU,1573177893,39,-33.14,148.18,70.79,23.94
180,Alamogordo,90,US,1573177893,66,32.9,-105.96,57.2,4.7
181,Nabire,98,ID,1573177865,46,-3.36,135.5,91.58,4.5
182,Cidreira,2,BR,1573177894,90,-30.17,-50.22,68.52,14.81
183,Gazanjyk,0,TM,1573177894,24,39.24,55.52,41.76,1.9
184,Ponta do Sol,100,BR,1573177553,89,-20.63,-46.0,70.02,3.74
185,Katsuura,75,JP,1573177894,55,33.93,134.5,60.8,17.22
186,Paamiut,100,GL,1573177886,58,61.99,-49.67,39.47,16.91
187,Pesochnoye,88,RU,1573177894,88,58.01,39.18,23.05,6.8
188,Saint-Philippe,90,CA,1573177894,62,45.36,-73.48,32.0,6.33
189,Nacogdoches,90,US,1573177894,93,31.6,-94.66,55.4,10.29
190,Llaillay,6,CL,1573177894,60,-32.84,-70.95,54.5,1.12
191,Adre,0,TD,1573177895,19,13.47,22.2,69.19,12.21
192,Khatanga,0,RU,1573177838,86,71.98,102.47,-12.3,10.98
193,Guerrero Negro,100,MX,1573177865,77,27.97,-114.04,67.33,5.93
194,Kishtwar,100,IN,1573177895,85,33.31,75.77,21.54,4.27
195,Qaqortoq,100,GL,1573177895,30,60.72,-46.03,42.8,26.4
196,Opuwo,100,NA,1573177895,15,-18.06,13.84,73.67,5.66
197,Kabalo,76,CD,1573177895,96,-6.05,26.92,67.78,1.61
198,Lisakovsk,100,KZ,1573177896,87,52.55,62.49,40.21,19.13
199,Aquiraz,75,BR,1573177896,74,-3.9,-38.39,80.6,13.87
200,Samaro,0,PK,1573177896,31,25.28,69.4,72.82,10.02
201,Ballina,0,IE,1573177896,93,54.11,-9.15,36.28,3.85
202,Flinders,0,AU,1573177896,22,-34.58,150.85,77.0,20.8
203,Houma,0,CN,1573177896,55,35.63,111.36,57.18,1.86
204,Hasaki,20,JP,1573177896,55,35.73,140.83,62.6,11.41
205,Quatre Cocos,40,MU,1573177896,78,-20.21,57.76,75.2,12.75
206,Narsaq,100,GL,1573177896,30,60.91,-46.05,42.8,26.4
207,Edd,0,ER,1573177897,24,13.93,41.69,81.37,2.64
208,Itarema,1,BR,1573177897,76,-2.92,-39.92,78.01,10.22
209,Deputatskiy,75,RU,1573177897,93,69.3,139.9,-7.12,2.77
210,Royan,42,FR,1573177897,87,45.62,-1.03,48.2,20.8
211,Mahebourg,40,MU,1573177897,78,-20.41,57.7,75.2,12.75
212,Torres,2,BR,1573177785,89,-29.34,-49.73,69.55,12.3
213,Port Blair,99,IN,1573177897,80,11.67,92.75,82.45,14.12
214,Maraa,99,BR,1573177897,79,-1.83,-65.37,78.1,0.6
215,Esperance,90,AU,1573177897,77,-33.86,121.89,59.0,11.41
216,Sorland,97,NO,1573177898,93,67.67,12.69,33.13,11.34
217,Jaguarao,0,BR,1573177898,68,-32.57,-53.38,59.67,2.37
218,Buta,100,CD,1573177898,99,2.79,24.73,67.53,1.63
219,Humpolec,100,CZ,1573177898,100,49.54,15.36,44.6,8.37
220,Longyearbyen,96,NO,1573177898,78,78.22,15.63,12.2,4.63
221,Kodiak,1,US,1573177842,42,39.95,-94.76,28.4,1.99
222,Dauphin,1,CA,1573177898,66,51.15,-100.04,15.8,6.93
223,Tamandare,100,BR,1573177898,96,-8.28,-70.75,72.52,2.06
224,Dennery,40,LC,1573177899,74,13.9,-60.89,82.4,25.28
225,Saint George,75,GR,1573177876,72,39.45,22.34,62.6,6.93
226,Bahia Honda,2,CU,1573177899,90,22.9,-83.16,77.29,8.84
227,Gandajika,99,CD,1573177899,96,-6.75,23.95,66.96,2.1
228,Takoradi,0,GH,1573177899,85,4.89,-1.75,79.11,2.42
229,Danshui,0,CN,1573177899,46,22.81,114.46,71.6,15.66
230,Kaura Namoda,0,NG,1573177899,28,12.59,6.58,74.26,4.68
231,Kununurra,81,AU,1573177899,34,-15.77,128.74,96.8,5.82
232,Tshikapa,100,CD,1573177900,97,-6.42,20.79,68.9,0.27
233,Vardo,90,US,1573177900,75,39.62,-77.74,50.0,12.75
234,Kirensk,100,RU,1573177900,95,57.78,108.12,29.89,9.95
235,La Palma,99,CO,1573177900,91,5.36,-74.39,71.26,2.62
236,Northam,0,AU,1573177900,31,-31.65,116.67,73.4,12.75
237,Talnakh,20,RU,1573177900,76,69.49,88.39,-9.41,6.71
238,Shingu,40,JP,1573177900,52,33.72,135.99,64.4,5.82
239,Singkang,75,MY,1573177901,94,2.1,102.8,73.4,2.24
240,Buchanan,75,LR,1573177901,94,5.88,-10.05,77.0,2.04
241,Yarada,75,IN,1573177901,94,17.65,83.27,69.8,4.7
242,Mount Gambier,75,AU,1573177901,66,-37.83,140.78,55.4,20.8
243,Brae,4,GB,1573177901,66,60.4,-1.35,39.2,3.36
244,Mangan,100,IN,1573177901,45,27.5,88.54,59.23,3.24
245,Brigantine,90,US,1573177902,81,39.41,-74.36,55.4,8.05
246,Nanhai,0,CN,1573177902,34,30.13,111.78,67.41,6.93
247,Huarmey,71,PE,1573177902,82,-10.07,-78.15,61.29,1.48
248,Benjamin Constant,75,BR,1573177902,100,-4.38,-70.03,75.2,2.24
249,Broken Hill,75,AU,1573177902,77,-31.97,141.45,59.0,24.16
250,Makakilo City,75,US,1573177043,62,21.35,-158.09,84.2,10.29
251,Saint-Augustin,40,CA,1573177903,79,45.63,-73.98,30.2,5.82
252,Zemio,99,CF,1573177903,96,5.02,25.13,67.01,1.54
253,Eirunepe,91,BR,1573177903,98,-6.66,-69.87,72.52,1.63
254,Maku,0,IR,1573177903,65,39.29,44.45,41.0,1.79
255,Neiafu,20,TO,1573177903,69,-18.65,-173.98,80.6,8.05
256,Daru,100,PG,1573177904,62,-9.07,143.21,87.39,9.24
257,Ricaurte,75,CO,1573177904,83,4.28,-74.77,75.2,6.93
258,Songjianghe,60,CN,1573177904,29,42.18,127.48,36.75,7.87
259,Chapais,90,CA,1573177904,85,49.78,-74.86,21.2,6.93
260,Port Hardy,75,CA,1573177904,76,50.7,-127.42,50.0,11.41
261,Yermish,100,RU,1573177904,82,54.77,42.27,36.3,5.59
262,Leshukonskoye,66,RU,1573177904,95,64.9,45.76,13.42,3.42
263,San Cristobal,12,HN,1573177740,96,14.68,-86.92,65.25,1.23
264,Usogorsk,0,RU,1573177905,95,63.43,48.71,9.05,1.39
265,Nikolaevo,100,BG,1573177905,100,42.63,25.79,55.4,4.7
266,Hithadhoo,0,MV,1573177793,70,-0.6,73.08,82.29,7.47
267,San Quintin,8,PH,1573177905,75,17.54,120.52,84.2,3.78
268,San Patricio,0,PY,1573177905,96,-26.98,-56.83,70.59,4.03
269,Dok Kham Tai,91,TH,1573177905,71,19.16,99.99,78.3,1.34
270,Araruama,100,BR,1573177905,92,-22.87,-42.34,72.32,13.58
271,Vlasim,100,CZ,1573177905,93,49.71,14.9,41.0,1.12
272,Henties Bay,51,NA,1573177844,91,-22.12,14.28,55.22,2.26
273,Almeirim,14,BR,1573177906,68,-1.53,-52.58,80.33,3.87
274,Faanui,4,PF,1573177858,81,-16.48,-151.75,80.46,19.86
275,Hervey Bay,0,AU,1573177906,35,-25.3,152.85,87.8,14.99
276,Sinnamary,99,GF,1573177906,81,5.38,-52.96,82.24,15.99
277,Betul,0,IN,1573177784,79,21.92,77.9,73.36,4.34
278,Upernavik,0,GL,1573177906,66,72.79,-56.15,8.51,5.1
279,Morshansk,100,RU,1573177906,94,53.44,41.81,44.76,6.8
280,Lexington,90,US,1573177807,91,38.05,-84.5,37.4,6.93
281,Goderich,100,CA,1573177907,96,43.74,-81.71,26.94,3.36
282,Pozega,90,RS,1573177907,93,43.85,20.05,53.6,6.93
283,Sakaiminato,20,JP,1573177907,48,35.55,133.23,62.6,16.11
284,Neresnytsya,100,UA,1573177907,89,48.12,23.77,43.11,2.86
285,Beringovskiy,52,RU,1573177907,91,63.05,179.32,28.89,13.56
286,Hadgaon,6,IN,1573177907,79,19.5,77.66,76.26,4.09
287,Chiang Mai,90,TH,1573177873,94,18.79,98.99,75.2,4.7
288,Salalah,70,OM,1573177907,47,17.01,54.1,75.2,4.7
289,Kindu,100,CD,1573177908,98,-2.95,25.92,69.58,1.59
290,Souillac,94,FR,1573177908,87,45.6,-0.6,46.4,20.8
291,Coahuayana,2,MX,1573177908,76,18.62,-100.35,73.76,3.29
292,Ostersund,100,SE,1573177805,73,63.18,14.64,26.6,5.82
293,Itoman,75,JP,1573177908,60,26.12,127.67,75.2,17.22
294,Bloomfield,1,US,1573177908,62,40.75,-92.42,23.0,5.91
295,Jaguaribe,13,BR,1573177908,85,-5.88,-38.62,71.13,3.83
296,Pangody,96,RU,1573177908,95,65.85,74.49,2.5,15.64
297,Mokrin,100,RS,1573177908,91,45.93,20.41,51.44,6.08
298,Paita,43,PE,1573177909,74,-5.09,-81.11,67.32,9.42
299,Hanna,100,CA,1573177909,64,51.64,-111.93,29.43,8.23
300,Gravdal,78,NO,1573177909,86,59.79,5.78,32.0,5.82
301,Noumea,75,NC,1573177750,51,-22.28,166.46,82.4,13.87
302,Alofi,75,NU,1573177894,88,-19.06,-169.92,77.0,9.17
303,Smirnykh,100,RU,1573177909,54,49.74,142.83,28.51,6.93
304,Touros,20,BR,1573177909,74,-5.2,-35.46,78.8,9.17
305,Bukachacha,81,RU,1573177909,61,52.99,116.91,24.15,2.33
306,Alice Springs,0,AU,1573177910,12,-23.7,133.88,86.0,11.41
307,Broome,0,GB,1573177910,93,52.47,1.45,37.4,5.82
308,Yar-Sale,8,RU,1573177910,93,66.83,70.83,-7.77,14.58
309,Basco,1,US,1573177910,53,40.33,-91.2,26.6,4.7
310,Coquimbo,0,CL,1573177910,88,-29.95,-71.34,57.29,5.12
311,Porto Novo,75,BR,1573177910,88,-23.68,-45.44,68.0,10.29
312,Ust-Nera,100,RU,1573177910,93,64.57,143.24,5.9,3.98
313,Nouadhibou,99,MR,1573177910,88,20.93,-17.03,64.4,16.11
314,Umm Lajj,0,SA,1573177910,74,25.02,37.27,70.45,1.66
315,Pozo Colorado,57,PY,1573177911,78,-23.49,-58.8,76.68,3.89
316,Lehi,1,US,1573177693,52,40.39,-111.85,46.4,0.4
317,Puerto Carreno,91,CO,1573177911,70,6.19,-67.49,84.2,1.7
318,Galdar,20,ES,1573177911,73,28.15,-15.65,69.8,23.04
319,Ayan,0,IR,1573177911,53,38.23,44.7,31.5,0.87
320,Indianola,1,US,1573177911,68,40.24,-100.42,33.8,4.7
321,Kenai,90,US,1573177911,87,60.55,-151.26,42.8,14.99
322,Dakar,61,SN,1573177912,73,14.69,-17.45,71.6,16.11
323,Port Macquarie,0,AU,1573177912,8,-31.43,152.91,89.6,10.29
324,Gazojak,0,TM,1573177912,38,41.19,61.4,41.68,7.74
325,Ostrovnoy,100,RU,1573177912,94,68.05,39.51,16.18,6.02
326,Vaitape,4,PF,1573177912,81,-16.52,-151.75,80.46,19.86
327,Samarai,100,PG,1573177840,68,-10.62,150.67,85.33,7.58
328,Singaraja,30,ID,1573177912,66,-8.11,115.08,84.15,4.83
329,Danielskuil,5,ZA,1573177912,30,-28.19,23.54,48.0,12.24
330,Nunkini,2,MX,1573177912,98,20.4,-90.15,73.54,3.67
331,Mount Isa,0,AU,1573177913,8,-20.73,139.49,96.8,14.99
332,Maniitsoq,99,GL,1573177913,43,65.42,-52.9,38.21,25.5
333,Priiskovyy,47,RU,1573177913,72,51.93,116.63,27.97,4.27
334,Rancho Palos Verdes,1,US,1573177727,68,33.75,-118.37,77.0,3.36
335,Torbay,75,CA,1573177913,69,47.66,-52.73,39.2,17.22
336,Berlevag,100,NO,1573177913,89,70.86,29.09,31.53,13.0
337,Tromso,0,NO,1573177913,85,69.65,18.96,12.2,10.29
338,Saint-Leu,79,RE,1573177913,56,-21.15,55.28,73.4,8.05
339,Sitka,0,US,1573177913,26,37.17,-99.65,36.05,6.44
340,Yulara,0,AU,1573177867,15,-25.24,130.99,86.0,9.17
341,Vao,100,EE,1573177914,98,59.1,26.19,33.4,3.4
342,Hobyo,0,SO,1573177914,81,5.35,48.53,79.27,5.28
343,Norrkoping,100,SE,1573177914,100,58.59,16.18,35.6,3.36
344,Pathein,98,MM,1573177914,91,16.78,94.73,74.64,1.52
345,Sangar,98,RU,1573177914,95,63.92,127.47,-18.64,5.79
346,Monticello,1,US,1573177636,58,40.03,-88.57,26.6,6.93
347,Rakitnoye,90,RU,1573177914,93,50.83,35.83,51.8,2.24
348,Giovinazzo,0,IT,1573177914,82,41.19,16.67,55.4,6.93
349,Waipawa,0,NZ,1573177398,38,-39.94,176.59,79.03,4.97
350,El Cope,40,PA,1573177915,94,8.69,-82.32,78.8,1.32
351,Yelandur,40,IN,1573177915,88,12.07,77.03,73.4,3.11
352,Rantauprapat,100,ID,1573177915,93,2.1,99.83,77.45,0.98
353,Berdigestyakh,52,RU,1573177915,85,62.1,126.7,-3.12,6.46
354,Walvis Bay,52,NA,1573177915,82,-22.95,14.51,57.2,11.41
355,Salamiyah,0,SY,1573177915,46,35.01,37.05,62.78,5.93
356,Bagdarin,51,RU,1573177916,71,54.44,113.59,18.5,0.63
357,Mgandu,100,TZ,1573177916,92,-5.96,34.11,60.71,9.86
358,Tashtagol,100,RU,1573177916,92,52.76,87.85,28.9,6.35
359,Shiyan,2,CN,1573177916,50,32.65,110.78,61.77,3.13
360,Caravelas,0,BR,1573177916,94,-17.73,-39.27,70.23,5.7
361,Nalut,0,LY,1573177916,58,31.86,10.98,58.26,4.52
362,Lavrentiya,0,RU,1573177916,75,65.58,-170.99,27.95,15.88
363,Kon Tum,96,VN,1573177916,58,14.36,108.0,77.81,1.28
364,Richards Bay,100,ZA,1573177916,83,-28.77,32.06,68.85,22.24
365,Iskateley,18,RU,1573177917,95,67.68,53.15,7.9,4.99
366,Robertson,14,AU,1573177917,22,-34.59,150.59,77.0,20.8
367,Constantine,0,DZ,1573177917,66,36.36,6.61,48.2,4.7
368,Kutum,0,SD,1573177917,23,14.2,24.66,65.16,3.62
369,Cittanova,20,IT,1573177917,59,38.35,16.08,60.8,5.82
370,Komsomolskiy,100,RU,1573177917,97,67.55,63.78,0.81,4.29
371,Petropavlovsk-Kamchatskiy,90,RU,1573177715,100,53.05,158.65,37.4,15.66
372,Laguna,40,BZ,1573177561,88,16.17,-88.94,78.8,1.68
373,Brownsville,1,US,1573177672,83,25.91,-97.49,80.6,8.05
